ID;sample_date;total_parasite_load;Ancylostoma egg load;Cystoisospora_oocyst_load;Diphyllobothrium_egg_load;Dipylidium_egg_load;Trichuris_egg_load;Taeniidae_egg_load;Spirurida_egg_load;Mesocestoides_egg_load;other_unidentified_taxa;f-mucin;f-IgA;birthdate;deathdate;Survival_Ad;AFR;Longevity;f-GCM;sample_years;sample_days;Polyparasitism;maternal rank;maternal rank 6m
59;04/08/2016;36225;0;0;35850;0;0;0;0;50;325;133.8891216;2512637.04;21/01/2016;21/07/2018;Yes;NA;2.5;42.95;0.53551912568306;196;3;-0.18708446866485;-0.243497267759563
60;12/09/2016;25;0;0;0;25;0;0;0;0;0;88.12304374;690716.618;09/04/2016;18/02/2020;Yes;NA;3.9;60.585;0.427397260273973;156;1;0.336857923497268;0.352391304347826
61;15/11/2016;42250;3500;50;38500;100;0;0;100;0;0;79.24311865;356389.1194;29/05/2016;22/03/2020;Yes;NA;3.8;21.985;0.465753424657534;170;4;0.14879781420765;0.131675675675676
62;20/09/2016;41850;2050;37300;2425;50;0;25;0;0;0;105.2859197;567257.0355;11/06/2016;NA;Yes;5.3;NA;17.04;0.276712328767123;101;4;-0.71603825136612;-0.749239130434783
63;14/10/2016;650;75;175;400;0;0;0;0;0;0;304.0124773;7259642.14;22/07/2016;22/02/2022;Yes;5.2;5.6;337.624;0.23013698630137;84;2;1;1
64;09/10/2016;1075;625;425;0;0;0;25;0;0;0;344.8755762;6499436.461;18/08/2016;06/12/2016;No;NA;0.3;70.635;0.142465753424658;52;2;0.207325581395349;0.207325581395349
65;20/01/2017;6425;0;0;6425;0;0;0;0;0;0;88.5436493;87588.24559;10/08/2016;26/03/2017;No;NA;0.6;30.985;0.446575342465753;163;1;-0.659093567251462;-0.683189189189189
66;19/12/2016;75;75;0;0;0;0;0;0;0;0;34.62475339;90380.01936;10/08/2016;NA;Yes;4.8;NA;11.005;0.358904109589041;131;0;-0.659093567251462;-0.683189189189189
67;03/01/2017;15900;2250;75;13575;0;0;0;0;0;0;78.18194805;296934.2878;02/09/2016;NA;Yes;3.1;NA;43.299;0.336986301369863;123;2;0.689613095238095;0.696978021978022
68;11/11/2016;23125;2675;100;20350;0;0;0;0;0;0;102.9363227;253919.0519;02/09/2016;07/03/2020;Yes;NA;3.5;17.621;0.191780821917808;70;2;0.689613095238095;0.696978021978022
69;02/01/2017;4700;4575;0;0;50;0;25;25;25;0;121.389157;4544810.269;05/09/2016;28/01/2017;No;NA;0.4;155.553;0.326027397260274;119;4;-0.129434523809524;-0.151428571428571
